0,I have overcome setbacks to conquer an important challenge.,Not like me at all,5
1,New ideas and projects sometimes distract me from previous ones.,Not like me at all,5
2,My interests change from year to year.,Not like me at all,5
3,Setbacks don't discourage me.,Not like me at all,5
4,I have been obsessed with a certain idea or project for a short time but later lost interest.,Not like me at all,5
5,I am a hard worker.,Not like me at all,5
6,I often set a goal but later choose to pursue a different one.,Not like me at all,5
7,I have difficulty maintaining my focus on projects that take more than a few months to complete.,Not like me at all,5
8,I finish whatever I begin.,Not like me at all,5
9,I have achieved a goal that took years of work.,Not like me at all,5
10,I become interested in new pursuits every few months.,Not like me at all,5
11,I am diligent.,Not like me at all,5
Final Grit Score = 5.0, extremely high
